song_id,song_name,tags,artist,language
1,"Song,1","Song,1,pop,artist-141",Artist 164,Tamil
2,"Song,2","2,Song,artist-87,rock",Artist 29,Punjabi
3,"Song,3","Song,folk,3,artist-53",Artist 7,English
4,"Song,4","4,Song,classical,artist-69",Artist 190,Bengali
5,"Song,5","artist-185,Song,jazz,5",Artist 71,Tamil
6,"Song,6","Song,hip-hop,artist-105,6",Artist 63,Punjabi
7,"Song,7","Song,artist-152,edm,7",Artist 58,English
8,"Song,8","Song,8,artist-68,folk",Artist 36,English
9,"Song,9","Song,folk,9,artist-22",Artist 189,Bengali
10,"Song,10","10,Song,artist-177,rock",Artist 27,Punjabi
11,"Song,11","11,Song,classical,artist-76",Artist 174,Tamil
12,"Song,12","country,Song,artist-157,12",Artist 190,Malayalam
13,"Song,13","Song,artist-32,13,r&b",Artist 140,Hindi
14,"Song,14","Song,14,rock,artist-174",Artist 23,English
15,"Song,15","country,Song,artist-50,15",Artist 152,Gujarati
16,"Song,16","16,Song,artist-143,pop",Artist 109,Punjabi
17,"Song,17","Song,17,jazz,artist-20",Artist 9,Malayalam
18,"Song,18","18,Song,artist-86,pop",Artist 8,Malayalam
19,"Song,19","Song,19,artist-51,r&b",Artist 24,Malayalam
20,"Song,20","Song,folk,artist-193,20",Artist 56,Marathi
21,"Song,21","Song,folk,21,artist-200",Artist 60,Tamil
22,"Song,22","Song,artist-84,pop,22",Artist 130,English
23,"Song,23","Song,folk,artist-91,23",Artist 155,Punjabi
24,"Song,24","Song,artist-52,24,rock",Artist 7,Malayalam
25,"Song,25","Song,artist-199,25,r&b",Artist 144,Hindi
26,"Song,26","artist-16,Song,26,jazz",Artist 51,Hindi
27,"Song,27","artist-167,Song,rock,27",Artist 184,Kannada
28,"Song,28","Song,artist-117,28,rock",Artist 167,Malayalam
29,"Song,29","Song,29,jazz,artist-153",Artist 180,Hindi
30,"Song,30","Song,hip-hop,30,artist-159",Artist 140,Gujarati
31,"Song,31","Song,jazz,artist-200,31",Artist 108,English
32,"Song,32","32,Song,artist-17,edm",Artist 57,Tamil
33,"Song,33","country,Song,33,artist-138",Artist 115,Tamil
34,"Song,34","Song,34,artist-116,edm",Artist 151,Gujarati
35,"Song,35","Song,folk,artist-132,35",Artist 72,Punjabi
36,"Song,36","Song,hip-hop,artist-126,36",Artist 2,Hindi
37,"Song,37","Song,artist-197,rock,37",Artist 195,Telugu
38,"Song,38","artist-107,Song,edm,38",Artist 41,Hindi
39,"Song,39","Song,39,artist-172,pop",Artist 179,Bengali
40,"Song,40","Song,folk,artist-24,40",Artist 109,Kannada
41,"Song,41","Song,41,artist-19,edm",Artist 88,Gujarati
